GROUP,CODE,NAME,YEAR,DISEASE,DISEASE_DESCRIPTION,DENOMINATOR,INCIDENCE_RATE
WHO_REGIONS,AFR,African Region,2023,CRS,Congenital rubella syndrome,"per 10,000 live births",0.1
WHO_REGIONS,AFR,African Region,2023,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",23.9
WHO_REGIONS,AFR,African Region,2023,INVASIVE_MENING,Invasive meningococcal disease,"per 1,000,000 total population",2.6
WHO_REGIONS,AFR,African Region,2023,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2023,MEASLES,Measles,"per 1,000,000 total population",343.0
WHO_REGIONS,AFR,African Region,2023,MUMPS,Mumps,"per 1,000,000 total population",761.5
WHO_REGIONS,AFR,African Region,2023,NTETANUS,Neonatal tetanus,per 1000 live births,0.1
WHO_REGIONS,AFR,African Region,2023,PERTUSSIS,Pertussis,"per 1,000,000 total population",8.4
WHO_REGIONS,AFR,African Region,2023,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.4
WHO_REGIONS,AFR,African Region,2023,RUBELLA,Rubella,"per 1,000,000 total population",21.9
WHO_REGIONS,AFR,African Region,2023,TTETANUS,Total tetanus,"per 1,000,000 total population",13.2
WHO_REGIONS,AFR,African Region,2023,TYPHOID,Typhoid,"per 1,000,000 total population",5743.2
WHO_REGIONS,AFR,African Region,2023,YFEVER,Yellow fever,"per 1,000,000 total population",0.4
WHO_REGIONS,AFR,African Region,2022,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2022,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",8.8
WHO_REGIONS,AFR,African Region,2022,INVASIVE_MENING,Invasive meningococcal disease,"per 1,000,000 total population",26.6
WHO_REGIONS,AFR,African Region,2022,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2022,MEASLES,Measles,"per 1,000,000 total population",80.5
WHO_REGIONS,AFR,African Region,2022,MUMPS,Mumps,"per 1,000,000 total population",671.6
WHO_REGIONS,AFR,African Region,2022,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2022,PERTUSSIS,Pertussis,"per 1,000,000 total population",7.3
WHO_REGIONS,AFR,African Region,2022,POLIO,Poliomyelitis,"per 1,000,000 <15 population",2.2
WHO_REGIONS,AFR,African Region,2022,RUBELLA,Rubella,"per 1,000,000 total population",8.9
WHO_REGIONS,AFR,African Region,2022,TTETANUS,Total tetanus,"per 1,000,000 total population",2.9
WHO_REGIONS,AFR,African Region,2022,TYPHOID,Typhoid,"per 1,000,000 total population",4602.7
WHO_REGIONS,AFR,African Region,2022,YFEVER,Yellow fever,"per 1,000,000 total population",0.2
WHO_REGIONS,AFR,African Region,2021,CRS,Congenital rubella syndrome,"per 10,000 live births",0.1
WHO_REGIONS,AFR,African Region,2021,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",11.0
WHO_REGIONS,AFR,African Region,2021,INVASIVE_MENING,Invasive meningococcal disease,"per 1,000,000 total population",58.1
WHO_REGIONS,AFR,African Region,2021,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2021,MEASLES,Measles,"per 1,000,000 total population",80.8
WHO_REGIONS,AFR,African Region,2021,MUMPS,Mumps,"per 1,000,000 total population",204.9
WHO_REGIONS,AFR,African Region,2021,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2021,PERTUSSIS,Pertussis,"per 1,000,000 total population",6.2
WHO_REGIONS,AFR,African Region,2021,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.1
WHO_REGIONS,AFR,African Region,2021,RUBELLA,Rubella,"per 1,000,000 total population",3.6
WHO_REGIONS,AFR,African Region,2021,TTETANUS,Total tetanus,"per 1,000,000 total population",2.8
WHO_REGIONS,AFR,African Region,2021,TYPHOID,Typhoid,"per 1,000,000 total population",3282.1
WHO_REGIONS,AFR,African Region,2021,YFEVER,Yellow fever,"per 1,000,000 total population",0.3
WHO_REGIONS,AFR,African Region,2020,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2020,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",12.8
WHO_REGIONS,AFR,African Region,2020,INVASIVE_MENING,Invasive meningococcal disease,"per 1,000,000 total population",40.0
WHO_REGIONS,AFR,African Region,2020,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2020,MEASLES,Measles,"per 1,000,000 total population",104.8
WHO_REGIONS,AFR,African Region,2020,MUMPS,Mumps,"per 1,000,000 total population",290.8
WHO_REGIONS,AFR,African Region,2020,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2020,PERTUSSIS,Pertussis,"per 1,000,000 total population",4.9
WHO_REGIONS,AFR,African Region,2020,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.2
WHO_REGIONS,AFR,African Region,2020,RUBELLA,Rubella,"per 1,000,000 total population",4.6
WHO_REGIONS,AFR,African Region,2020,TTETANUS,Total tetanus,"per 1,000,000 total population",7.0
WHO_REGIONS,AFR,African Region,2020,TYPHOID,Typhoid,"per 1,000,000 total population",3959.3
WHO_REGIONS,AFR,African Region,2020,YFEVER,Yellow fever,"per 1,000,000 total population",1.1
WHO_REGIONS,AFR,African Region,2019,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2019,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",17.1
WHO_REGIONS,AFR,African Region,2019,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2019,MEASLES,Measles,"per 1,000,000 total population",551.8
WHO_REGIONS,AFR,African Region,2019,MUMPS,Mumps,"per 1,000,000 total population",195.1
WHO_REGIONS,AFR,African Region,2019,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2019,PERTUSSIS,Pertussis,"per 1,000,000 total population",8.6
WHO_REGIONS,AFR,African Region,2019,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.7
WHO_REGIONS,AFR,African Region,2019,RUBELLA,Rubella,"per 1,000,000 total population",5.4
WHO_REGIONS,AFR,African Region,2019,TTETANUS,Total tetanus,"per 1,000,000 total population",3.6
WHO_REGIONS,AFR,African Region,2019,TYPHOID,Typhoid,"per 1,000,000 total population",1364.5
WHO_REGIONS,AFR,African Region,2019,YFEVER,Yellow fever,"per 1,000,000 total population",0.4
WHO_REGIONS,AFR,African Region,2018,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2018,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",3.4
WHO_REGIONS,AFR,African Region,2018,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2018,MEASLES,Measles,"per 1,000,000 total population",114.9
WHO_REGIONS,AFR,African Region,2018,MUMPS,Mumps,"per 1,000,000 total population",271.8
WHO_REGIONS,AFR,African Region,2018,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2018,PERTUSSIS,Pertussis,"per 1,000,000 total population",16.4
WHO_REGIONS,AFR,African Region,2018,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.1
WHO_REGIONS,AFR,African Region,2018,RUBELLA,Rubella,"per 1,000,000 total population",10.8
WHO_REGIONS,AFR,African Region,2018,TTETANUS,Total tetanus,"per 1,000,000 total population",4.9
WHO_REGIONS,AFR,African Region,2018,TYPHOID,Typhoid,"per 1,000,000 total population",9.1
WHO_REGIONS,AFR,African Region,2018,YFEVER,Yellow fever,"per 1,000,000 total population",0.7
WHO_REGIONS,AFR,African Region,2017,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2017,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.2
WHO_REGIONS,AFR,African Region,2017,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2017,MEASLES,Measles,"per 1,000,000 total population",68.2
WHO_REGIONS,AFR,African Region,2017,MUMPS,Mumps,"per 1,000,000 total population",174.5
WHO_REGIONS,AFR,African Region,2017,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2017,PERTUSSIS,Pertussis,"per 1,000,000 total population",10.5
WHO_REGIONS,AFR,African Region,2017,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.0
WHO_REGIONS,AFR,African Region,2017,RUBELLA,Rubella,"per 1,000,000 total population",6.4
WHO_REGIONS,AFR,African Region,2017,TTETANUS,Total tetanus,"per 1,000,000 total population",3.6
WHO_REGIONS,AFR,African Region,2017,YFEVER,Yellow fever,"per 1,000,000 total population",0.1
WHO_REGIONS,AFR,African Region,2016,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2016,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",9.4
